Number of nodes: 11501
Number of edges: 209020

Degree	Number of genes	Genes
19	129	APLP1, ARHGAP11B, ARHGAP18, ARHGAP20, ARHGAP23, ARHGAP28, ARHGAP29, ARHGAP36, ARHGAP40, ARHGAP44, ARHGEF26, ARHGEF3, ATG7, B3GALT6, B3GAT1, B3GAT2, BMP5, BMP8B, BPGM, C1GALT1, CABLES1, CACNA1H, CAMK1, CBFA2T2, CD9, CDKN1C, CDKN2B, CHRD, CLEC10A, CNOT4, CTSH, DAD1, DEPDC1B, DEPDC7, DHX58, DNAJA1, DNAJA2, DNAJB1, EIF2AK4, FAM13A, FAM13B, FBLN1, FBXO43, FGD4, FOXG1, GABRA3, GABRA4, GALNT5, GCNT1, GMIP, GSN, HNF4G, INPP5A, INPP5J, INSRR, IPMK, ISG20L2, KCNJ16, KDM6B, KIR2DL4, LILRB2, LIN28A, LITAF, MATK, MEOX2, METTL14, METTL3, MKKS, MOS, MYH7, MYO9B, NACA, NET1, NFASC, NLRP3, NOLC1, NR1H2, NUMA1, OXT, P4HB, PAN3, PARD6B, PAXBP1, PDCD1LG2, PHB, PI3, PIWIL4, POLN, PPFIA4, PPP1R1B, PYGB, RAB9A, RAPGEF2, REV3L, RGS13, RICTOR, RSL1D1, S100A9, SAP30BP, SCNN1B, SCNN1G, SERPINF2, SFTPC, SH3BP2, SH3GLB2, SLC2A1, SMC5, SNAP47, SREK1, ST6GAL1, STRADB, SUPT20H, SYCP1, TAGAP, TBC1D4, TIMP2, TLR7, TNKS1BP1, TOP2B, TRIB3, TRIM37, TUBA4B, UHRF2, WWOX, XYLT1, XYLT2, ZFP36L1, ZFPM2, ZNF292
18	109	A4GNT, ABCA1, ALK, AMBRA1, APPL1, ATG16L1, ATXN7L3, B3GNT5, B3GNT6, B3GNT8, BHLHE41, BMX, CAPN2, CASR, CKS2, CRTC3, CXCL14, DMRT2, DR1, EEF2K, ELOVL1, ELOVL4, FOXH1, GALNT10, GALNT11, GALNT12, GALNT13, GALNT14, GALNT15, GALNT4, GALNT6, GALNT7, GALNT8, GALNT9, GCNT3, GCNT4, GJB2, GPR35, GRIP1, GSTP1, HAMP, HEYL, HIST1H1C, IARS, JMJD6, KCNJ10, KCNJ4, KIR3DL2, LDHA, MAPK8IP3, MAPRE2, MC2R, MDK, MFN1, MSH4, MSH5, MST1, NF2, NOG, NSMCE3, PCOLCE, PFKFB1, PFN2, PIWIL2, PKD1, PPM1A, PRPF40B, PTGER1, PTGFR, PTMA, PURB, RAB33B, RAB4A, RFFL, RFXANK, RGS19, RPTN, RRP1, SCNN1A, SEPT1, SERPINA5, SIGIRR, SORL1, SOX9, SPRR3, SSBP3, ST6GALNAC2, ST6GALNAC4, SYCE2, TADA1, TBCC, TBX5, TCHH, TEX12, TIMM23, TNIP2, TPT1, TRAPPC11, TRAPPC12, TRAPPC13, TWF2, UBE2M, UBE2W, UBQLN1, USP28, UVRAG, VPS33B, WDR83, ZBP1
17	102	ABLIM3, AKAP8, AKR1B1, ANKRD1, ARF3, ARID1B, AVPR1A, BNIP3, CAMK1G, CAMKK1, CLNS1A, CRH, CTSF, CTSK, DIABLO, DLAT, DLL4, DPYSL3, DPYSL5, EIF2AK1, ELOVL2, ELOVL3, ELOVL5, ELOVL6, ELOVL7, EPN3, ERO1A, F10, GCSH, GDF15, GDF7, GJA10, GPHN, GPR20, GYG1, HAND1, HBS1L, HCST, HK2, HOXA2, HOXA7, IL1R2, IL1RL2, IPO4, IRF5, ITPKB, ITPKC, KCNJ15, KMT2B, LY86, MARS, MEF2B, MFAP5, MLF1, MMP16, MMP20, MNDA, MSTN, MXD1, NDRG1, NFE2L3, NFX1, NID2, NPEPPS, NR2F1, NR4A2, OR1F1, PCSK1, PDHB, PERP, PEX19, PGAM1, PGAM4, PSMC3IP, PTHLH, RAB27A, RLF, RNF43, RNF5, RUNX1T1, RYR1, SCNN1D, SCRIB, SDCBP, SESN2, SH2D2A, SNAPIN, SPAG9, SPRR2A, SSBP4, TARDBP, TBC1D7, TBPL1, TG, TGFBR3, TLL1, UBE3C, UQCRC1, USP21, VPS35, WNK2, WNK4
16	139	ACACB, ADAM15, ADIPOQ, ADIPOR1, AIFM1, AKAP8L, ANGPTL4, AP4E1, AQP2, ATG3, ATXN3, BBS10, BBS12, BNIP3L, BTG1, C1R, CAD, CAP1, CCNL1, CD209, CD53, CDC14B, CHMP1B, CHRNA4, CITED4, CPSF6, CTDSP1, CYC1, CYP19A1, CYTH2, DACT3, DAPK3, DBP, DDX4, DDX54, DFFB, DGKQ, DIS3L, DNAH5, DNAH8, DOCK2, DUSP22, DUSP3, DUSP7, DYNLT1, EHF, EIF2B2, ENO2, EPRS, ERN1, EXT2, F9, FLRT1, FLRT2, FLRT3, FST, FUZ, GDF6, GDF9, GJA5, GJA8, GJB1, GLUD1, GPIHBP1, GRP, HAND2, HIST1H1D, HMBOX1, HMGA2, HNF1B, IFIT1, IGSF5, IMPA1, IMPA2, IMPAD1, INTU, IPO7, KCNB1, LATS2, LLGL2, LMO1, LPXN, MAEL, MBD3L3, MBD3L4, MC1R, MELK, MKL1, MR1, MSMO1, NAA16, NACC1, NGLY1, NIPBL, NKX2-2, NR3C2, OR52A1, PAX2, PBK, PDHX, PDK4, PER3, PIDD1, PLIN1, PRDX4, PSTPIP1, PTPN13, RABGGTA, RABGGTB, RGS2, RGS7, RNF185, ROBO2, RORB, RUNX2, S100B, SELE, SH2B3, SLC25A6, SOCS5, SOD2, SP5, SPRTN, STX10, SUV39H2, TAPBP, TDRD1, TDRKH, TOMM40, TRAK2, TXK, TXNDC5, U2AF1, UBE2S, UGT2B17, VAMP1, WASF3, WNK3, XBP1
15	489	ADH1A, ADH1B, ADH1C, ADH6, ADIPOR2, AEBP2, AGAP2, ALDOB, ARFIP2, ARHGEF28, ATF5, ATP2A2, ATP2B4, BACE2, BAG2, BAG6, BCL9L, BMP10, BMP3, BMP8A, BRD7, CAP2, CAT, CBFA2T3, CD38, CDC14A, CDX2, CEACAM1, CHAF1B, CHD8, CORO1A, DCP1B, DDX41, DLX2, DRAP1, DUSP4, DUSP6, DUSP9, EDC3, EHHADH, EID3, EIF1, ERLEC1, EXT1, F13A1, FERMT2, FFAR1, GABPB1, GABRA1, GABRA6, GDF5, GFI1B, GJD3, GOLGA5, GOLIM4, GPD1, GRB14, GRIP2, HOXA5, HPSE, HSPE1, ID4, IL27, KCNMA1, KMT2A, KMT2E, LAIR2, LILRB3, LIN54, LNX1, LRP4, LYL1, MAPT, MIB1, MMP25, MMP28, MSL3, MSR1, OR10A2, OR10A3, OR10A4, OR10A5, OR10A6, OR10A7, OR10AD1, OR10AG1, OR10C1, OR10G3, OR10G4, OR10G7, OR10G8, OR10G9, OR10H1, OR10H2, OR10H3, OR10H4, OR10H5, OR10J1, OR10J3, OR10J5, OR10K1, OR10K2, OR10P1, OR10Q1, OR10R2, OR10S1, OR10T2, OR10V1, OR10W1, OR11A1, OR11G2, OR11H1, OR11H4, OR11H6, OR11L1, OR12D2, OR12D3, OR13A1, OR13C2, OR13C3, OR13C4, OR13C5, OR13C8, OR13C9, OR13D1, OR13F1, OR13G1, OR13H1, OR13J1, OR14A16, OR14C36, OR14I1, OR14J1, OR1A1, OR1A2, OR1B1, OR1C1, OR1D2, OR1E1, OR1E2, OR1G1, OR1I1, OR1J1, OR1J2, OR1J4, OR1K1, OR1L1, OR1L3, OR1L4, OR1L6, OR1L8, OR1M1, OR1N1, OR1N2, OR1Q1, OR1S1, OR1S2, OR2A1, OR2A12, OR2A14, OR2A2, OR2A25, OR2A4, OR2A5, OR2A7, OR2AE1, OR2AG1, OR2AG2, OR2AK2, OR2AP1, OR2AT4, OR2B11, OR2B2, OR2B3, OR2B6, OR2C1, OR2C3, OR2D2, OR2D3, OR2F1, OR2F2, OR2G2, OR2G3, OR2G6, OR2H1, OR2H2, OR2J2, OR2J3, OR2K2, OR2L13, OR2L2, OR2L3, OR2L5, OR2L8, OR2M2, OR2M3, OR2M4, OR2M5, OR2M7, OR2S2, OR2T1, OR2T10, OR2T11, OR2T12, OR2T2, OR2T27, OR2T29, OR2T3, OR2T33, OR2T34, OR2T4, OR2T5, OR2T6, OR2T8, OR2V1, OR2V2, OR2W1, OR2W3, OR2Y1, OR2Z1, OR3A1, OR3A2, OR3A3, OR4A15, OR4A16, OR4A47, OR4A5, OR4B1, OR4C11, OR4C12, OR4C13, OR4C15, OR4C16, OR4C3, OR4C46, OR4C6, OR4D1, OR4D10, OR4D11, OR4D2, OR4D5, OR4D6, OR4D9, OR4E1, OR4E2, OR4F15, OR4F17, OR4F21, OR4F3, OR4F4, OR4F5, OR4F6, OR4K1, OR4K13, OR4K14, OR4K15, OR4K17, OR4K2, OR4K5, OR4L1, OR4M1, OR4M2, OR4N2, OR4N4, OR4N5, OR4P4, OR4Q3, OR4S1, OR4S2, OR4X1, OR4X2, OR51A2, OR51A4, OR51A7, OR51B2, OR51B4, OR51B5, OR51B6, OR51D1, OR51E1, OR51E2, OR51F1, OR51F2, OR51G1, OR51G2, OR51I1, OR51I2, OR51L1, OR51M1, OR51Q1, OR51S1, OR51T1, OR51V1, OR52A5, OR52B2, OR52B6, OR52D1, OR52E2, OR52E4, OR52E6, OR52E8, OR52H1, OR52I1, OR52I2, OR52J3, OR52K1, OR52K2, OR52L1, OR52M1, OR52N1, OR52N2, OR52N4, OR52N5, OR52R1, OR52W1, OR56A1, OR56A3, OR56A4, OR56A5, OR56B1, OR56B4, OR5A1, OR5A2, OR5AC2, OR5AK2, OR5AN1, OR5AP2, OR5AR1, OR5AS1, OR5AU1, OR5B12, OR5B17, OR5B2, OR5B21, OR5B3, OR5C1, OR5D13, OR5D14, OR5D16, OR5D18, OR5F1, OR5H1, OR5H14, OR5H15, OR5H2, OR5H6, OR5I1, OR5J2, OR5K1, OR5K2, OR5K3, OR5K4, OR5L1, OR5L2, OR5M1, OR5M10, OR5M11, OR5M3, OR5M8, OR5M9, OR5P2, OR5P3, OR5R1, OR5T1, OR5T2, OR5T3, OR5V1, OR5W2, OR6A2, OR6B1, OR6B2, OR6B3, OR6C1, OR6C2, OR6C3, OR6C4, OR6C6, OR6C65, OR6C68, OR6C70, OR6C74, OR6C75, OR6C76, OR6F1, OR6K2, OR6K3, OR6K6, OR6M1, OR6N1, OR6N2, OR6P1, OR6Q1, OR6S1, OR6T1, OR6V1, OR6X1, OR6Y1, OR7A10, OR7A17, OR7A5, OR7C1, OR7C2, OR7D2, OR7D4, OR7E24, OR7G1, OR7G2, OR7G3, OR8A1, OR8B12, OR8B2, OR8B3, OR8B4, OR8B8, OR8D1, OR8D2, OR8D4, OR8G1, OR8G5, OR8H1, OR8H2, OR8H3, OR8I2, OR8J1, OR8J3, OR8K1, OR8K3, OR8K5, OR8S1, OR8U1, OR9A2, OR9A4, OR9G1, OR9G4, OR9I1, OR9K2, OR9Q1, OR9Q2, PABPC1L, PABPC1L2A, PABPC3, PABPC4, PABPC5, PATL1, PDCD4, PENK, PHF1, PLAA, PLEC, PLXND1, PNKP, POU1F1, POU3F2, PPP1R3F, PRDX1, PTPRK, RABGEF1, RFX6, RFXAP, RYR3, S100A8, SGMS1, SH2D1A, SLC26A5, SOCS4, SOCS7, SUMF1, SUMO4, SYVN1, TAP1, TDG, THAP1, TIMM17A, TIMM17B, TNFRSF4, TOPORS, TRPC1, TRPV4, TULP3, UBE2U, UBE2Z, ULBP1, UQCRFS1, WDR48, WWC1, YEATS2, ZMYND11, ZNF467, ZNRF3
14	145	ADH7, AHSG, AIMP2, ALDOC, AP3S1, ARID4A, ARIH2, ASXL2, ATP2A3, BMP15, BUD13, CAPZA2, CD1E, CDKN2D, CEACAM6, CERS1, CHKA, CHKB, CYP11B2, DGKZ, DPYSL4, DSG1, DST, DUSP5, EIF1AY, EIF5A, ENAH, EPB41L3, ETV6, EVL, F3, FARP2, FKBP4, FMR1, FPR3, GAD1, GALR2, GAS1, GCLC, GINS4, GIP, GJA3, GMEB2, GNRH1, GOLPH3, GSTM2, GSTM4, GYG2, HES5, HINFP, HIST1H1E, HOXA10, HSD11B1, IFI27, ING2, KCNJ11, KCNQ2, KHDRBS2, KIF7, LGMN, LGR5, LIN9, MAP2K5, MBD3L2, MFAP2, MICA, MICB, MLH3, MMP21, MMP24, MMP27, MND1, MYCN, NARS, NCAPG, NECTIN2, NLRC4, NLRX1, NMUR1, NMUR2, NR2C2, NSMAF, NSMCE1, NTS, NUBP1, NUBP2, P2RY8, PAM16, PAPSS1, PARD6G, PCSK6, PFKFB2, PFKFB3, PHF10, PHF20, PKP1, PKP4, PMCH, PPP1R12C, PRDM1, PTGER3, PTTG2, RAB11B, RAB35, RAB39A, RABEPK, RAET1E, RARS, RBM25, RCC1, RFX1, RRM2B, SAFB, SARM1, SEC63, SFTPD, SLC17A7, SLC6A3, SON, SPIB, SPRR1A, SPRR1B, TESC, TEX15, TFAP2D, TFF1, TIMM44, TNFRSF17, TNIP1, TOB1, TRIP4, TRPC5, UBE2E3, UBE2K, UGCG, UGT2B7, UHRF1, ULBP3, UNC5B, UQCR11, USP15, VDAC3, VRK1, YAF2, ZNF473
13	189	ABCB1, ABLIM1, ACACA, ACAP1, ADAM2, ADH4, ADH5, ADM, AGK, AIRE, AKR1C2, ANOS1, APOA5, ARF5, ARL2, ATG4B, BARX2, BIRC6, BIRC8, CAPNS1, CBLL1, CD7, CERS3, CHRNB4, CIDEA, CLCA2, CLIP3, CTLA4, CYP2A13, CYSLTR2, DAB2IP, DDIT4, DGKA, DGKB, DGKD, DGKE, DGKG, DGKH, DGKI, DGKK, DICER1, DMTF1, DNAH3, DNAH7, DNAI2, DNAJC5, DSG2, DSG3, DTX4, EBF3, EDC4, EEF1G, EIF2B1, EIF2B3, EIF2B5, ELANE, ELP2, EPB41L2, ERLIN1, ESRRB, FAM131B, FBP1, FBXO45, FKBP1B, FLOT1, FOXK1, GARS, GDF10, GDF11, GDF3, GINS1, GIT2, GJC1, GPR119, GPSM2, GRPEL1, GSTM3, GSTM5, GTPBP4, GZMA, H1F0, HBA1, HBP1, HK1, HOXB8, HOXC6, HOXD3, HPGDS, ICAM3, IER3, IL17A, IL1RL1, IL1RN, JMY, KAT6B, KHDRBS3, KIAA1549, KLKB1, LHB, LILRA2, LILRB4, LIMK2, LIN37, MCIDAS, MEMO1, MEPCE, MST1R, MTERF3, MUSK, NCAPD3, NDST1, NEUROD1, NHLRC1, NMS, NMU, NPTN, NSMCE2, PBRM1, PCOLCE2, PDC, PDE3B, PDK3, PIH1D1, PITX1, PITX2, PLA2R1, PMPCB, PRDX2, PRDX3, PRSS1, PTCH2, PTP4A3, RALY, RAMP2, RANGRF, RASSF1, RCHY1, RNF11, RNF181, RNF34, RRM2, SAV1, SEC31B, SEC61A2, SFTPA1, SKIV2L, SKOR1, SLA, SLC25A4, SLC26A3, SLC26A4, SMC6, SMPD3, SNCB, SOCS6, SPRR2B, SPRR2D, SPRR2E, SPRR2F, SPRR2G, SSH1, SST, SSU72, STT3B, TAP2, TBCB, TGFBI, TGM2, TIMP3, TNIK, TNRC6A, TTC37, UCHL1, UEVLD, UGT2B10, UGT2B11, UGT2B15, UGT2B4, UQCRQ, VDAC2, VPS41, WLS, WRAP53, ZCCHC9, ZNF281, ZNF512B, ZNF587, ZP2, ZSCAN1
12	213	ABLIM2, AGO4, ARC, ARPC5L, ASZ1, ATF7IP, BACH2, BAP1, C3AR1, C4BPA, CBR1, CBY1, CCDC59, CD48, CDC37L1, CDH6, CDH9, CDK5RAP3, CERS2, CERS4, CERS5, CERS6, CHCHD2, CHL1, CIC, CIDEC, CLCA1, CLCA4, COMMD1, CORT, CRHR1, CRX, CSE1L, CTDNEP1, CYP2A6, CYP51A1, CYSLTR1, DEDD, DEPDC5, DFFA, DHCR7, DNAJC19, DNAJC27, DRG1, DSC1, DSC2, DSC3, DSG4, EDAR, EDN3, EFS, EIF4G3, ELN, EMD, ESRRG, ETV1, F11, FBXO25, FGFBP1, FOXK2, FXYD1, GAD2, GARNL3, GHSR, GJC2, GLCE, GLE1, GLUD2, GPER1, GREM1, GRPEL2, GSTA2, GSTM1, GTF2I, HAT1, HAX1, HENMT1, HES6, HK3, HKDC1, HOXB7, HOXD9, HPSE2, HS2ST1, HS3ST1, HS3ST2, HS3ST3A1, HS3ST3B1, HS3ST5, HS3ST6, HS6ST1, HS6ST2, HSD17B7, IDH1, IGFALS, IL17F, IQGAP3, JADE1, KCNQ1, KLF10, KLF6, KLRC1, KTN1, LAG3, LARS, LGALS1, LILRA4, LILRA6, LILRB5, LIN52, LIPT1, LRIG1, LSM10, LZTR1, MAGEA2, MAGT1, MAPK8IP1, MAPKAP1, MCHR1, MCHR2, MDN1, MED12L, MGST2, MOB1A, MOV10L1, MT-CYB, NCAPH, NDST2, NFIL3, NFS1, NLRP4, NPY1R, NSMCE4A, NTN4, NTSR2, OCLN, OTUB1, PACS1, PAWR, PCGF1, PDCD6, PDE6G, PDZD11, PHF12, PMPCA, PMS2, PPIF, PPP1R13L, PPP1R14A, PRMT2, PRR5, PSG1, PTGER4, PTPN3, PTPRF, PVR, PYY, QARS, RABEP1, RAI1, RAP2A, RBMX2, RFX3, RGS14, RGS3, RGS9BP, RPF1, S1PR5, SETD7, SIK3, SLC26A1, SLC26A2, SLC26A6, SLC26A7, SLC26A9, SLC32A1, SNX2, SOST, ST13, STIM1, STK36, STX8, STXBP5, SUMF2, SV2A, SV2B, SV2C, SYNCRIP, SYNGAP1, TDRD12, TDRD9, TFAP2E, TIMM21, TNFRSF10D, TNFRSF14, TNFRSF9, TNK2, TSC22D1, TUSC3, UGT2A1, UGT2A3, UGT2B28, ULK3, UNC5A, VANGL2, VPS29, WDR74, WDR82, WEE1, ZBTB8A, ZMYM2, ZNF217, ZNF24
11	201	ADAM22, ADAMTS14, ADAMTS2, ADAMTS3, ALDH3A1, ANXA2, AP3S2, ARID2, ARL17A, ARL6, ASNA1, ASPH, ATP2A1, BCAR3, BCKDK, BIRC7, BLOC1S6, BRWD1, C5AR1, C6, C7, CAND2, CASP4, CATSPER1, CCDC8, CCKAR, CCKBR, CD22, CD70, CDH7, CDS1, CDS2, CEBPZ, CFC1, COL24A1, COL27A1, CYP11A1, CYP27A1, DAPK1, DCAF7, DOK5, DOT1L, DUSP10, DUSP2, DUSP8, DZIP3, E2F7, EEA1, EHD2, EIF4E3, EIF5A2, ELP4, ERO1B, FAF2, FASN, FDPS, FDX1, FERMT3, FFAR2, FFAR4, FOXA3, GALR1, GALR3, GATA5, GFAP, GGA1, GJA4, GJE1, GPS2, GSTA1, GSTA3, GSTO1, HCFC2, HIPK1, HIPK3, HIST1H1B, HMGB3, HMGCR, HNRNPAB, HNRNPH3, HOXA11, HOXC5, HOXD13, HPN, ICOS, IHH, IKZF4, INHA, IQGAP2, ISG20, KAT14, KCNA5, KDM5A, KDM5C, KEAP1, KLK3, KLRC3, KREMEN2, LBR, LRFN1, LRIF1, LRP1B, LRP3, LSP1, MAG, MASP1, MASP2, MBD5, MLX, MOB1B, MSC, MYH1, MYH13, MYH7B, NCAPD2, NCAPG2, NCAPH2, NCOA4, NCOA5, NLRC3, NOSTRIN, NOTCH2NL, NPRL2, NPRL3, NR4A3, OR10X1, OR10Z1, OR11H12, OR1D5, OR52B4, PARP14, PCGF3, PCSK9, PDE4B, PDE6A, PDE6B, PDZD3, PFKFB4, PKP3, PLXNC1, PPP1R13B, PPY, PRKAR2A, PRSS2, PTAFR, PTGS1, PWP1, RAB2B, RAB5B, RAG2, RASA3, RASAL3, RIN3, RLN3, RNF103, RNF139, RSPO1, SAE1, SC5D, SCAP, SDHA, SELL, SENP2, SERBP1, SERPING1, SH3RF1, SIKE1, SIPA1L1, SIX3, SLC26A10, SLC26A11, SLC26A8, SNX1, SNX6, SRD5A1, STK24, STOML2, STXBP4, STXBP5L, TADA2A, TLR8, TNFSF15, TNRC6C, TOMM20, TPTE, TRIB1, UBA6, UBE4A, UNC13D, UQCR10, USH1C, USP16, USP18, UTRN, VAPA, WIPI2, ZMYND8, ZNF175, ZNF417, ZNF593, ZNFX1
10	237	ADAM21, ADAM23, ADCYAP1, AGRP, AKAP1, AKR1C3, AP4S1, ATP2B1, ATRNL1, ATXN1L, BATF2, BBC3, BCKDHA, BLOC1S1, BRMS1L, C1QA, C1QB, C1QC, C1S, CAB39L, CALCA, CALCOCO1, CALCRL, CBX1, CD72, CDH18, CETP, CIB1, CNGA1, CNTN2, COL4A3BP, COMMD3, CRABP2, CTDSP2, CYP17A1, CYP27B1, DAND5, DENND1A, DENND4A, DHRS2, DNMT3L, DOK4, DOK6, DPEP1, DPP4, DSCC1, DUSP19, DYRK2, EDF1, EDN2, EEF1A2, EEF1E1, EGR3, EIF4EBP2, ELF3, ELP5, EPM2A, ERGIC1, EZH1, F13B, FOXL2, FTSJ3, GAL, GAS8, GGA2, GINS2, GINS3, GIPC1, GORASP2, GPI, GPRC6A, GRPR, GSTA4, GSTA5, GSTK1, GSTO2, GSTT2, GSTT2B, HABP4, HCAR3, HEXIM1, HOMEZ, HOXD10, IAPP, IDH3G, INSIG2, JAG2, KANSL1, KBTBD7, KCNA1, KCNMB1, KCNMB2, KCNMB3, KCNMB4, KIR2DS4, L3MBTL1, L3MBTL3, LBH, LBX1, LGR6, LHX2, LILRA5, LOX, LRRK1, LSM11, LTF, LZTFL1, MAEA, MAFG, MAP1B, MAP4K2, MAPK4, MBIP, MBL2, MBNL1, MEIS2, MGST1, MGST3, MKNK2, MLC1, MOK, MSH3, NARFL, NCALD, NDFIP1, NFATC2IP, NHEJ1, NHP2, NKX3-1, NLE1, NLRC5, NLRP1, NMI, NOCT, NPPA, NPY2R, NPY4R, NPY5R, NR2C1, NR2E1, NR6A1, NSDHL, NTSR1, OLIG1, OPN1LW, OPN1SW, OPN4, OTUD7B, OVGP1, PARD3B, PCGF5, PCID2, PCSK2, PCSK5, PDE1A, PDE1B, PDE1C, PDE3A, PDE4C, PDE4D, PDLIM7, PFN3, PLA2G6, POLL, POLM, POP7, POU5F1B, PPAN, PPP1R8, PRKCSH, PROS1, PTP4A1, PTPN5, PTPN7, RAP1GAP2, RASA2, RBM14, RGS18, RMND5B, RRP8, RTN4, S100A12, SAFB2, SARS, SATB1, SBDS, SCRT1, SEC61A1, SLIT1, SLN, SMYD3, SPDEF, SRSF8, STMN1, STRN, TCP10L, TECR, THBD, THY1, TIMM23B, TM7SF2, TMED5, TNRC6B, TOM1L1, TRDN, TRIM13, TRIM23, TRIM5, TRIM63, TRPC7, TRPV5, TRPV6, TSHR, TSPAN7, TTC5, TWF1, TXNIP, UBE2G1, UBN1, UBXN1, UCHL3, ULK2, UNC13C, UQCRB, UQCRC2, UQCRH, USP33, USP43, VAC14, WBP2, ZDHHC13, ZFHX3, ZNF341, ZNF460, ZNF654, ZNF687, ZNF750
9	258	AARS, ABCB4, ABCD3, ACAT1, ACER1, ACHE, ACSL3, ADAM20, ADAM30, AIM2, ALCAM, ALDH1A3, ANGPTL3, AOX1, APLNR, ATG10, B4GAT1, BAZ2B, BCAS3, BFAR, BMF, BTG3, BTG4, C8A, C8B, C8G, C9, CA9, CALCR, CARD9, CBFB, CD151, CD83, CDH10, CDH12, CDKN2C, CEACAM5, CFI, CFL2, CHGA, CIAPIN1, CLCF1, CLDN1, CLEC4M, COPRS, CRYAA, CTNND2, CYP7A1, DDX1, DDX55, DHH, DIAPH3, DNM1L, DPM1, DSCAM, DUSP12, DUSP14, DUSP16, DUSP18, DUSP21, DYRK1A, DYSF, EFEMP1, EGLN2, EID2, EIF2B4, ELP6, EPB41L5, EPX, ERMN, ESCO2, ETV3, FAIM2, FAM96B, FBLN5, FKBP5, FLCN, FNTA, FTH1, FXN, GGCX, GJA9, GJB4, GJB5, GJB7, GJD4, GLP1R, GOT1, GPR161, GRIN3B, GTF2H2C, HBB, HCAR1, HCAR2, HCRTR1, HECW2, HIC1, HMG20B, HMGN3, HOXB13, HOXC8, HRG, HTRA2, IDH3A, IFIT3, IGFBP1, IGFBP4, IGFBP7, IKZF2, IRF2BPL, IST1, JMJD1C, KANK2, KANSL2, KANSL3, KCNA4, KCNQ5, KCNU1, KDM2B, KDM4C, KIF5C, KIFC3, KLF13, KLF2, LINGO1, LRFN2, MAFA, MAGI1, MAGI2, MAP3K10, MAP4K5, MAPK8IP2, MASTL, MAT2A, MAU2, MC4R, MECP2, MGA, NAMPT, NEO1, NEUROG3, NIP7, NMBR, NOP2, NPB, NPBWR1, NPBWR2, NPHS2, NPW, NSD1, OLIG2, OPN1MW3, PACSIN1, PAN2, PDE4A, PDLIM5, PHRF1, PIWIL1, PKN3, PLIN3, POMP, POP1, POP4, POP5, PPID, PPM1F, PRDX5, PREB, PROCR, PROKR1, PRRX1, PRSS3, PTGER2, PTK7, PTPRB, PTPRM, PTPRR, QKI, RAB38, RABIF, RAD54L, RAMP1, RANBP9, RASA4, RBM10, RBSN, RERE, RIT2, RMND5A, RPL36AL, RSPO2, RSPO3, RSPO4, RXFP4, SCD, SCN7A, SEMA3E, SEMA6A, SERPINB2, SESN1, SFTPA2, SIK2, SIRPA, SIRT6, SKAP2, SLC3A2, SNIP1, SNTA1, SNX3, SOSTDC1, SOX17, SPINT1, SS18, SSX2IP, STK26, STK39, STOML3, STXBP3, SUCNR1, TACR1, TAX1BP3, TBX3, TBX4, TFF3, TMPRSS6, TNS4, TOB2, TOMM40L, TOMM70, TOP3B, TOR2A, TRAF4, TRAIP, TRAT1, TRH, TRIM22, TSC22D4, TXN2, UBE2J1, UCKL1, UNC5C, USP13, USP6NL, VAPB, VGLL1, WWP2, XPO5, YBX3, ZBTB24, ZC3H12A, ZIM2, ZNF165, ZNF212, ZNF805, ZNF827, ZP1, ZP3, ZP4
