Number of nodes: 11501
Number of edges: 209020

Degree	Number of genes	Genes
85	23	CACNA1F, CALML4, CALML6, CHM, CSNK1G2, DAB2, EPN2, FBXL5, FBXW2, FBXW4, GFM2, GRK6, GRK7, IL5, MRRF, MTIF3, PLCE1, POLR1C, RRAS, SNAPC5, TAF7, TBK1, TIAM1
84	55	BMPR1B, BMS1, CCNC, CCR5, COL4A1, CTBP1, DIAPH2, E2F4, EXOSC2, FBXL12, FBXL13, FBXL14, FBXL16, FBXL18, FBXL19, FBXL20, FBXL22, FBXL4, FBXL8, FBXO15, FBXO17, FBXO21, FBXO22, FBXO27, FBXO30, FBXO40, FBXO41, FBXO44, FBXW10, FBXW12, FBXW5, FBXW9, GFM1, HECTD2, IRS2, KIF3C, LONRF1, MED6, MTRF1L, PDCD11, RAB1A, RASGRF1, RNF19B, RNF213, RNF217, SDC1, SRSF10, STAM2, TFAP2C, THRAP3, TRIM36, UNKL, VAMP3, WSB1, ZNRF2
83	20	BCLAF1, BYSL, CHML, CUL2, EXOSC1, EXOSC3, FRS2, HMGA1, IGF1, MAP2K6, MED14, NFKBIB, POLD2, PPP2R5B, RACGAP1, SIX5, SNAPC1, TRAF1, TSR1, ZAP70
82	13	CHRM1, EPO, IFNAR2, LEO1, LEPR, MMP2, NOL6, PARVA, POLR1D, PTPN1, RAD51, SNAPC2, STX16
81	26	ACTA2, BATF, CHD9, COL4A2, COPS5, EEFSEC, EFNB3, EIF2S1, EIF5B, EPHB4, FCGR1A, FCHO1, FCHO2, FZD3, GRSF1, IL23A, KRR1, MICALL1, MMP9, NEDD8, RET, SECISBP2, SNAPC3, SNAPC4, SYT1, TCF3
80	21	ACTG2, BMPR1A, BORA, CHEK1, GRAP2, IL10RA, IL13RA1, IL3, KIF11, LIMS2, MED13, MED4, MTA1, PARVB, PRKG2, RBBP5, SAP18, SOCS1, SPTBN4, SPTBN5, ZEB1
79	23	ANK1, ATRIP, BAX, CALR, CEP97, CKS1B, COL3A1, COPS3, EFNA1, GH1, GPC1, GSK3A, MCM7, MED12, NOTCH3, PAK3, PPP2R1B, PPP2R5E, RIPK2, SPTB, THBS1, THRA, TUBGCP2
78	15	AGO2, DDB2, DDX49, EIF3F, EPS15L1, HES1, IL13RA2, ITGBL1, MED26, SAG, SEC24C, SUPT5H, TAB2, TNFRSF11A, XPA
77	14	ARHGEF7, BRCA2, CREB3L4, EIF4B, EPHB3, FCGR3A, HIF3A, HSPG2, IFNGR2, IL23R, IMP4, PPP2R2B, RPL3L, XIAP
76	27	ACTC1, AGRN, BCL11A, CD14, CD40, EIF3A, EPHB6, ERCC8, FCGR2A, FZD1, GATA3, GH2, IFNA16, IFNB1, KLC1, MAP3K5, NFE2L1, POLD3, POLD4, PRLR, RAD1, RBBP8, RBPJ, TAF10, TIMELESS, TUBGCP3, ZNF263
75	32	ANK3, CREB3, HIST1H2BA, HSPB1, IFNA1, IFNA10, IFNA14, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IKBKE, IL1A, IL20RA, KMT2D, LIFR, MAP2K3, MED10, MED30, PLCD1, SUV39H1, TFDP1, TNFSF11, TOPBP1, TUBG2, TUBGCP4, TUBGCP5, TUBGCP6
74	20	ABI1, BAMBI, C1QBP, CD55, EGR2, ETS2, FOSL1, HMMR, HSPA9, IL11RA, ITGAD, KITLG, PAF1, PAX6, PLCD3, PLCD4, RAD17, TJP1, TPX2, XRCC1
73	14	ACTL6A, CSNK1G3, EIF2S2, EIF5, GPLD1, HDAC5, HIST1H2BN, IL7R, NXT1, PLCZ1, ROCK2, RPRD1B, TAB1, TFCP2L1
