534	ARGLU1
535	ARHGAP1
536	ARHGAP10
537	ARHGAP11A
538	ARHGAP11B
539	ARHGAP12
540	ARHGAP15
541	ARHGAP17
542	ARHGAP18
543	ARHGAP19
544	ARHGAP20
545	ARHGAP21
546	ARHGAP22
547	ARHGAP23
548	ARHGAP24
549	ARHGAP25
550	ARHGAP26
551	ARHGAP27
552	ARHGAP28
553	ARHGAP29
554	ARHGAP30
555	ARHGAP31
556	ARHGAP32
557	ARHGAP33
558	ARHGAP35
559	ARHGAP36
560	ARHGAP39
561	ARHGAP4
562	ARHGAP40
563	ARHGAP44
564	ARHGAP5
565	ARHGAP6
566	ARHGAP8
567	ARHGAP9
568	ARHGDIA
569	ARHGDIB
570	ARHGDIG
571	ARHGEF1
572	ARHGEF10
573	ARHGEF10L
574	ARHGEF11
575	ARHGEF12
576	ARHGEF15
577	ARHGEF16
578	ARHGEF17
579	ARHGEF18
580	ARHGEF19
581	ARHGEF2
582	ARHGEF25
583	ARHGEF26
584	ARHGEF28
585	ARHGEF3
586	ARHGEF39
587	ARHGEF4
588	ARHGEF5
589	ARHGEF6
590	ARHGEF7
591	ARHGEF9
592	ARID1A
593	ARID1B
594	ARID2
595	ARID3A
596	ARID3B
597	ARID4A
598	ARID4B
599	ARID5A
600	ARID5B
601	ARIH1
602	ARIH2
603	ARL1
604	ARL13B
605	ARL17A
606	ARL2
607	ARL2BP
608	ARL3
609	ARL4A
610	ARL4C
611	ARL4D
612	ARL5B
613	ARL6
614	ARL6IP1
615	ARL6IP4
616	ARL6IP5
617	ARL8B
618	ARNT
619	ARNT2
620	ARNTL
621	ARNTL2
622	ARPC1A
623	ARPC1B
624	ARPC2
625	ARPC3
626	ARPC4
627	ARPC5
628	ARPC5L
629	ARPP19
630	ARR3
631	ARRB1
632	ARRB2
633	ARRDC3
634	ARRDC5
635	ARSA
636	ARSB
637	ARSD
638	ARSE
639	ARSF
640	ARSG
641	ARSH
642	ARSI
643	ARSJ
644	ARSK
645	ART1
646	ART3
647	ART4
648	ARTN
649	ARV1
650	ARVCF
651	ARX
652	ASAH1
653	ASAH2
654	ASAP1
655	ASAP2
656	ASAP3
657	ASB1
658	ASB10
659	ASB11
660	ASB12
661	ASB13
662	ASB14
663	ASB15
664	ASB16
665	ASB17
666	ASB18
667	ASB2
668	ASB3
669	ASB4
670	ASB5
671	ASB6
672	ASB7
673	ASB8
674	ASB9
675	ASCC1
676	ASCC2
677	ASCC3
678	ASCL1
679	ASCL2
680	ASCL3
681	ASF1A
682	ASF1B
683	ASGR1
684	ASGR2
685	ASH1L
686	ASH2L
687	ASIC1
688	ASIC2
689	ASIC3
690	ASIC4
691	ASIC5
692	ASIP
693	ASL
694	ASNA1
695	ASNS
696	ASPH
697	ASPM
698	ASPN
699	ASPSCR1
700	ASS1
701	ASXL1
702	ASXL2
703	ASZ1
704	ATAD2
705	ATAD2B
706	ATAD3A
707	ATAD5
708	ATCAY
709	ATF1
710	ATF2
711	ATF3
712	ATF4
713	ATF5
714	ATF6
715	ATF6B
716	ATF7
717	ATF7IP
718	ATF7IP2
719	ATG10
720	ATG101
721	ATG12
722	ATG13
723	ATG14
724	ATG16L1
725	ATG16L2
726	ATG2A
727	ATG2B
728	ATG3
729	ATG4B
730	ATG4D
731	ATG5
732	ATG7
733	ATG9A
734	ATG9B
735	ATIC
736	ATM
737	ATMIN
738	ATN1
739	ATOH1
740	ATOH8
741	ATOX1
742	ATP10D
743	ATP11B
744	ATP12A
745	ATP13A1
746	ATP13A2
747	ATP1A1
748	ATP1A2
749	ATP1A3
750	ATP1A4
751	ATP1B1
752	ATP1B2
753	ATP1B3
754	ATP1B4
755	ATP2A1
756	ATP2A2
757	ATP2A3
758	ATP2B1
759	ATP2B2
760	ATP2B3
761	ATP2B4
762	ATP2C1
763	ATP4A
764	ATP4B
765	ATP6AP1
766	ATP6AP2
767	ATP6V0A1
768	ATP6V0A2
769	ATP6V0A4
770	ATP6V0B
771	ATP6V0C
772	ATP6V0D1
773	ATP6V0D2
774	ATP6V0E1
775	ATP6V0E2
776	ATP6V1A
777	ATP6V1B1
778	ATP6V1B2
779	ATP6V1C1
780	ATP6V1C2
781	ATP6V1D
782	ATP6V1E1
783	ATP6V1E2
784	ATP6V1F
785	ATP6V1G1
786	ATP6V1G2
787	ATP6V1G3
788	ATP6V1H
789	ATP7A
790	ATP8A1
791	ATP8A2
792	ATP8B1
793	ATP8B2
794	ATP8B4
795	ATR
796	ATRAID
797	ATRIP
798	ATRNL1
799	ATRX
800	ATXN1
801	ATXN10
802	ATXN1L
803	ATXN2
804	ATXN2L
805	ATXN3
806	ATXN3L
807	ATXN7
808	ATXN7L3
809	AUP1
810	AURKA
811	AURKAIP1
812	AURKB
813	AURKC
814	AUTS2
815	AVEN
816	AVIL
817	AVP
818	AVPR1A
819	AVPR1B
820	AVPR2
821	AXIN1
822	AXIN2
823	AXL
824	AZGP1
825	AZI2
826	AZIN1
827	AZIN2
828	AZU1
829	B2M
830	B3GALNT2
831	B3GALT6
832	B3GAT1
833	B3GAT2
834	B3GAT3
835	B3GLCT
836	B3GNT2
837	B3GNT3
838	B3GNT4
839	B3GNT5
840	B3GNT6
841	B3GNT7
842	B3GNT8
843	B4GALT1
844	B4GALT2
845	B4GALT3
846	B4GALT4
847	B4GALT5
848	B4GALT6
849	B4GALT7
850	B4GAT1
851	B9D1
852	B9D2
853	BABAM1
854	BACE1
855	BACE2
856	BACH1
857	BACH2
858	BAD
859	BAG1
860	BAG2
861	BAG3
862	BAG4
863	BAG5
864	BAG6
865	BAIAP2
866	BAIAP2L1
867	BAIAP2L2
868	BAK1
869	BAMBI
870	BANF1
871	BANP
872	BAP1
873	BARD1
874	BARHL1
875	BARHL2
876	BARX1
877	BARX2
878	BASP1
879	BATF
880	BATF2
881	BATF3
882	BAX
883	BAZ1A
884	BAZ1B
885	BAZ2A
886	BAZ2B
887	BBC3
888	BBIP1
889	BBS1
890	BBS10
891	BBS12
892	BBS2
893	BBS4
894	BBS5
895	BBS7
896	BBS9
897	BCAM
898	BCAN
899	BCAP29
900	BCAP31
901	BCAR1
902	BCAR3
903	BCAS2
904	BCAS3
905	BCCIP
906	BCHE
907	BCKDHA
908	BCKDHB
909	BCKDK
910	BCL10
911	BCL11A
912	BCL2
913	BCL2A1
914	BCL2L1
915	BCL2L10
916	BCL2L11
917	BCL2L12
918	BCL2L2
919	BCL3
920	BCL6
921	BCL6B
922	BCL7A
923	BCL9
924	BCL9L
925	BCLAF1
926	BCOR
927	BCORL1
928	BCR
929	BDKRB1
930	BDKRB2
931	BDNF
932	BDP1
933	BECN1
934	BECN2
935	BEGAIN
936	BEND3
937	BEND5
938	BEND6
939	BEST1
940	BET1
941	BET1L
942	BEX1
943	BEX2
944	BEX3
945	BFAR
946	BGLAP
947	BGN
948	BHLHA15
949	BHLHE23
950	BHLHE40
951	BHLHE41
952	BICD1
953	BICD2
954	BID
955	BIK
956	BIN1
957	BIN3
958	BIRC2
959	BIRC3
960	BIRC5
961	BIRC6
962	BIRC7
963	BIRC8
964	BLID
965	BLK
966	BLM
967	BLMH
968	BLNK
969	BLOC1S1
970	BLOC1S2
971	BLOC1S3
972	BLOC1S4
973	BLOC1S5
974	BLOC1S6
975	BLVRB
976	BLZF1
977	BMF
978	BMI1
979	BMP1
980	BMP10
981	BMP15
982	BMP2
983	BMP3
984	BMP4
985	BMP5
986	BMP6
987	BMP7
988	BMP8A
989	BMP8B
990	BMPER
991	BMPR1A
992	BMPR1B
993	BMPR2
994	BMS1
995	BMX
996	BNC1
997	BNIP1
998	BNIP2
999	BNIP3
1000	BNIP3L
1001	BNIPL
1002	BOC
1003	BOD1
1004	BOK
1005	BOLL
1006	BOP1
1007	BORA
1008	BORCS5
1009	BORCS6
1010	BPGM
1011	BPI
1012	BPIFA1
1013	BPTF
1014	BRAF
1015	BRAP
1016	BRAT1
1017	BRCA1
1018	BRCA2
1019	BRCC3
1020	BRD2
1021	BRD3
1022	BRD4
1023	BRD7
1024	BRD8
1025	BRD9
1026	BRF1
1027	BRF2
1028	BRINP1
1029	BRIP1
1030	BRIX1
1031	BRK1
1032	BRMS1
1033	BRMS1L
1034	BRPF1
1035	BRPF3
1036	BRSK1
1037	BRSK2
1038	BRWD1
1039	BRWD3
1040	BSCL2
1041	BSG
1042	BSN
1043	BST1
1044	BST2
1045	BSX
1046	BTAF1
1047	BTBD1
1048	BTBD10
